,year,rank,net_worth_billions,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_industries,organization_name,position_in_organization,self_made,wealth_status
29688,2023,591,4.6,Ronald Lauder,79.0,Male,United States,United States,New York,['Fashion & Retail'],,,False,Decreased
29689,2023,591,4.6,Li Chunan,54.0,Male,China,China,Fushun,['Manufacturing'],,,True,Decreased
29690,2023,591,4.6,Forrest Li,45.0,Male,Singapore,Singapore,Singapore,['Media & Entertainment'],,,True,Decreased
29691,2023,591,4.6,Richard Li,56.0,Male,Hong Kong,Hong Kong,Hong Kong,['Telecom'],,,False,Decreased
29692,2023,591,4.6,Doug Meijer & family,69.0,Male,United States,United States,Grand Rapids,['Fashion & Retail'],,,False,
29693,2023,591,4.6,Hank Meijer & family,71.0,Male,United States,United States,Grand Rapids,['Fashion & Retail'],,,False,
29694,2023,591,4.6,Mark Meijer & family,65.0,Male,United States,United States,Grand Rapids,['Fashion & Retail'],,,False,
29695,2023,591,4.6,Issad Rebrab & family,79.0,Male,Algeria,Algeria,Algiers,['Food & Beverage'],,,True,Decreased
29696,2023,591,4.6,Fred Smith,78.0,Male,United States,United States,Memphis,['Logistics'],FedEx,Chairman and CEO,True,Decreased
29697,2023,591,4.6,Barry Sternlicht,62.0,Male,United States,United States,Miami,['Finance & Investments'],,,True,Increased
